sample_id,sample_index,degradation_types,degradation_levels,tool_name,tool_description,success,baseline_psnr,baseline_ssim,baseline_lpips,restored_psnr,restored_ssim,restored_lpips,psnr_improvement,ssim_improvement,lpips_improvement
sample_9,9,low resolution,high,swinir_denoising,SwinIR去噪,True,41.65385029016173,0.9954212738040574,0.005207863636314869,26.780272497728127,0.80397877471462,0.2313007116317749,-14.8735777924336,-0.19144249908943745,-0.22609284799546003
sample_9,9,low resolution,high,swinir_jpeg_artifact_removal,SwinIR JPEG伪影去除,True,41.65385029016173,0.9954212738040574,0.005207863636314869,26.0440848812151,0.7605328921511617,0.1273650825023651,-15.609765408946629,-0.23488838165289572,-0.12215721886605024
sample_9,9,low resolution,high,swinir_super_resolution,SwinIR超分辨率,True,41.65385029016173,0.9954212738040574,0.005207863636314869,20.4700026478711,0.6075660396025303,0.24019306898117065,-21.183847642290626,-0.3878552342015271,-0.23498520534485579
sample_9,9,low resolution,high,restormer_motion_deblurring,Restormer运动去模糊,True,41.65385029016173,0.9954212738040574,0.005207863636314869,29.766776740973047,0.9507772754845121,0.05766886845231056,-11.887073549188681,-0.04464399831954535,-0.05246100481599569
sample_9,9,low resolution,high,restormer_defocus_deblurring,Restormer散焦去模糊,True,41.65385029016173,0.9954212738040574,0.005207863636314869,28.219532054623222,0.9486760258017588,0.01738019287586212,-13.434318235538505,-0.04674524800229862,-0.012172329239547253
sample_9,9,low resolution,high,restormer_deraining,Restormer去雨,True,41.65385029016173,0.9954212738040574,0.005207863636314869,35.42417324997679,0.986807767148057,0.011828337796032429,-6.229677040184939,-0.00861350665600047,-0.00662047415971756
sample_9,9,low resolution,high,xrestormer_motion_deblurring,XRestormer运动去模糊,True,41.65385029016173,0.9954212738040574,0.005207863636314869,16.986613323331017,0.5176367993943513,0.4441697597503662,-24.66723696683071,-0.4777844744097062,-0.43896189611405134
sample_9,9,low resolution,high,xrestormer_deraining,XRestormer去雨,True,41.65385029016173,0.9954212738040574,0.005207863636314869,31.348063197528347,0.9818866705112864,0.010349330492317677,-10.30578709263338,-0.013534603292771008,-0.005141466856002808
sample_9,9,low resolution,high,mprnet_denoising,MPRNet去噪,True,41.65385029016173,0.9954212738040574,0.005207863636314869,25.10218916059678,0.7523489664752718,0.3130280077457428,-16.55166112956495,-0.2430723073287856,-0.30782014410942793
sample_9,9,low resolution,high,mprnet_motion_deblurring,MPRNet运动去模糊,True,41.65385029016173,0.9954212738040574,0.005207863636314869,26.242331219827783,0.878586719670038,0.08854140341281891,-15.411519070333945,-0.11683455413401944,-0.08333353977650404
sample_9,9,low resolution,high,mprnet_deraining,MPRNet去雨,True,41.65385029016173,0.9954212738040574,0.005207863636314869,30.53703719378823,0.970318301665663,0.02117849513888359,-11.116813096373498,-0.025102972138394408,-0.015970631502568722
sample_9,9,low resolution,high,fbcnn_jpeg_artifact_removal,FBCNN JPEG伪影去除,True,41.65385029016173,0.9954212738040574,0.005207863636314869,32.28467839693928,0.9423929030145999,0.017947783693671227,-9.36917189322245,-0.053028370789457546,-0.012739920057356358
sample_9,9,low resolution,high,drbnet_defocus_deblurring,DRBNet散焦去模糊,True,41.65385029016173,0.9954212738040574,0.005207863636314869,32.448016977437646,0.9674709817843143,0.019411392509937286,-9.205833312724081,-0.027950292019743084,-0.014203528873622417
sample_9,9,low resolution,high,dehazeformer_dehaze,DehazeFormer去雾,True,41.65385029016173,0.9954212738040574,0.005207863636314869,20.892081410108503,0.8786871582936309,0.027110205963253975,-20.761768880053225,-0.11673411551042656,-0.021902342326939106
sample_12,12,low resolution,low,swinir_denoising,SwinIR去噪,True,44.25526752032578,0.9947379709527834,0.004742737393826246,28.365546071318324,0.6328493143221073,0.4589122533798218,-15.889721449007457,-0.36188865663067604,-0.45416951598599553
sample_12,12,low resolution,low,swinir_jpeg_artifact_removal,SwinIR JPEG伪影去除,True,44.25526752032578,0.9947379709527834,0.004742737393826246,31.234165005603394,0.8583444750768322,0.19524389505386353,-13.021102514722386,-0.13639349587595118,-0.19050115766003728
sample_12,12,low resolution,low,swinir_super_resolution,SwinIR超分辨率,True,44.25526752032578,0.9947379709527834,0.004742737393826246,25.236432470835485,0.6397686338819587,0.3567437529563904,-19.018835049490296,-0.3549693370708247,-0.35200101556256413
sample_12,12,low resolution,low,restormer_motion_deblurring,Restormer运动去模糊,True,44.25526752032578,0.9947379709527834,0.004742737393826246,43.78711204371942,0.9953520230435311,0.003015760099515319,-0.4681554766063627,0.0006140520907477187,0.0017269772943109274
sample_12,12,low resolution,low,restormer_defocus_deblurring,Restormer散焦去模糊,True,44.25526752032578,0.9947379709527834,0.004742737393826246,31.951479803003856,0.9509101238778274,0.018475474789738655,-12.303787717321924,-0.04382784707495602,-0.013732737395912409
sample_12,12,low resolution,low,restormer_deraining,Restormer去雨,True,44.25526752032578,0.9947379709527834,0.004742737393826246,39.707598338855156,0.9872524313799786,0.020591869950294495,-4.547669181470624,-0.007485539572804734,-0.01584913255646825
sample_12,12,low resolution,low,xrestormer_motion_deblurring,XRestormer运动去模糊,True,44.25526752032578,0.9947379709527834,0.004742737393826246,18.707762466654074,0.6107110313986194,0.349893718957901,-25.547505053671706,-0.384026939554164,-0.34515098156407475
sample_12,12,low resolution,low,xrestormer_deraining,XRestormer去雨,True,44.25526752032578,0.9947379709527834,0.004742737393826246,40.77311936290119,0.9924956360289797,0.0063662161119282246,-3.4821481574245894,-0.002242334923803657,-0.0016234787181019783
sample_12,12,low resolution,low,mprnet_denoising,MPRNet去噪,True,44.25526752032578,0.9947379709527834,0.004742737393826246,29.661197146493542,0.8259496482549865,0.19112823903560638,-14.594070373832238,-0.16878832269779687,-0.18638550164178014
sample_12,12,low resolution,low,mprnet_motion_deblurring,MPRNet运动去模糊,True,44.25526752032578,0.9947379709527834,0.004742737393826246,34.471217147008836,0.9646781149816643,0.06951867789030075,-9.784050373316944,-0.030059855971119043,-0.0647759404964745
sample_12,12,low resolution,low,mprnet_deraining,MPRNet去雨,True,44.25526752032578,0.9947379709527834,0.004742737393826246,37.74341833008394,0.9762383516683756,0.031194964423775673,-6.51184919024184,-0.018499619284407798,-0.026452227029949427
sample_12,12,low resolution,low,fbcnn_jpeg_artifact_removal,FBCNN JPEG伪影去除,True,44.25526752032578,0.9947379709527834,0.004742737393826246,39.422712492958794,0.9811122124399149,0.012349894270300865,-4.832555027366986,-0.013625758512868513,-0.007607156876474619
sample_12,12,low resolution,low,drbnet_defocus_deblurring,DRBNet散焦去模糊,True,44.25526752032578,0.9947379709527834,0.004742737393826246,36.170498433438915,0.9773375799297156,0.014121091924607754,-8.084769086886865,-0.017400391023067785,-0.009378354530781507
sample_12,12,low resolution,low,dehazeformer_dehaze,DehazeFormer去雾,True,44.25526752032578,0.9947379709527834,0.004742737393826246,27.44535062627974,0.9392933556348044,0.035441529005765915,-16.80991689404604,-0.05544461531797895,-0.03069879161193967
sample_6,6,low resolution,low,swinir_denoising,SwinIR去噪,True,38.69568023807799,0.9961923164401473,0.007480978965759277,26.83028039002594,0.9089733131212695,0.09415129572153091,-11.86539984805205,-0.08721900331887777,-0.08667031675577164
sample_6,6,low resolution,low,swinir_jpeg_artifact_removal,SwinIR JPEG伪影去除,True,38.69568023807799,0.9961923164401473,0.007480978965759277,26.05928975534062,0.9123786493193929,0.07423078268766403,-12.636390482737369,-0.08381366712075433,-0.06674980372190475
sample_6,6,low resolution,low,swinir_super_resolution,SwinIR超分辨率,True,38.69568023807799,0.9961923164401473,0.007480978965759277,20.767606424764573,0.7470521755189491,0.1678798496723175,-17.928073813313418,-0.24914014092119818,-0.16039887070655823
sample_6,6,low resolution,low,restormer_motion_deblurring,Restormer运动去模糊,True,38.69568023807799,0.9961923164401473,0.007480978965759277,38.102433172583474,0.9959488566269571,0.0058065662160515785,-0.5932470654945163,-0.00024345981319018328,0.0016744127497076988
sample_6,6,low resolution,low,restormer_defocus_deblurring,Restormer散焦去模糊,True,38.69568023807799,0.9961923164401473,0.007480978965759277,28.986421199572074,0.9758053157592227,0.013337587006390095,-9.709259038505916,-0.020387000680924583,-0.005856608040630817
sample_6,6,low resolution,low,restormer_deraining,Restormer去雨,True,38.69568023807799,0.9961923164401473,0.007480978965759277,31.115220563630118,0.9752070726353788,0.028402768075466156,-7.580459674447873,-0.020985243804768516,-0.02092178910970688
sample_6,6,low resolution,low,xrestormer_motion_deblurring,XRestormer运动去模糊,True,38.69568023807799,0.9961923164401473,0.007480978965759277,13.435924690268594,0.4541042517732678,0.3923426866531372,-25.259755547809398,-0.5420880646668795,-0.38486170768737793
sample_6,6,low resolution,low,xrestormer_deraining,XRestormer去雨,True,38.69568023807799,0.9961923164401473,0.007480978965759277,34.4248594695059,0.9887576592157029,0.011859908699989319,-4.270820768572094,-0.007434657224444363,-0.0043789297342300415
sample_6,6,low resolution,low,mprnet_denoising,MPRNet去噪,True,38.69568023807799,0.9961923164401473,0.007480978965759277,22.98092342424456,0.8208096252817118,0.2094080150127411,-15.714756813833432,-0.17538269115843552,-0.2019270360469818
sample_6,6,low resolution,low,mprnet_motion_deblurring,MPRNet运动去模糊,True,38.69568023807799,0.9961923164401473,0.007480978965759277,6.569619894373123,0.0472068909784413,0.5784369707107544,-32.126060343704864,-0.948985425461706,-0.5709559917449951
sample_6,6,low resolution,low,mprnet_deraining,MPRNet去雨,True,38.69568023807799,0.9961923164401473,0.007480978965759277,31.64708055494914,0.9777076003921742,0.016404040157794952,-7.048599683128849,-0.018484716047973082,-0.008923061192035675
sample_6,6,low resolution,low,fbcnn_jpeg_artifact_removal,FBCNN JPEG伪影去除,True,38.69568023807799,0.9961923164401473,0.007480978965759277,31.755571632384058,0.9794283390674909,0.013993236236274242,-6.940108605693933,-0.016763977372656336,-0.006512257270514965
sample_6,6,low resolution,low,drbnet_defocus_deblurring,DRBNet散焦去模糊,True,38.69568023807799,0.9961923164401473,0.007480978965759277,28.952860781874115,0.9617609330748786,0.04353147745132446,-9.742819456203875,-0.03443138336526863,-0.036050498485565186
sample_6,6,low resolution,low,dehazeformer_dehaze,DehazeFormer去雾,True,38.69568023807799,0.9961923164401473,0.007480978965759277,28.005624885231054,0.9765528861700589,0.010741439647972584,-10.690055352846937,-0.01963943027008841,-0.0032604606822133064
sample_2,2,dark,low,swinir_denoising,SwinIR去噪,True,21.893076428591876,0.9902782112298064,0.01669916883111,21.58947177651033,0.897496292196764,0.281027615070343,-0.3036046520815461,-0.09278191903304245,-0.264328446239233
sample_2,2,dark,low,swinir_jpeg_artifact_removal,SwinIR JPEG伪影去除,True,21.893076428591876,0.9902782112298064,0.01669916883111,21.713958274718678,0.9328974990855857,0.25917863845825195,-0.17911815387319763,-0.05738071214422069,-0.24247946962714195
sample_2,2,dark,low,swinir_super_resolution,SwinIR超分辨率,True,21.893076428591876,0.9902782112298064,0.01669916883111,21.576620261165544,0.9030355126541353,0.3114855885505676,-0.3164561674263311,-0.08724269857567113,-0.2947864197194576
sample_2,2,dark,low,restormer_motion_deblurring,Restormer运动去模糊,True,21.893076428591876,0.9902782112298064,0.01669916883111,21.81561010467464,0.9190247893971883,0.13929320871829987,-0.07746632391723551,-0.07125342183261807,-0.12259403988718987
sample_2,2,dark,low,restormer_defocus_deblurring,Restormer散焦去模糊,True,21.893076428591876,0.9902782112298064,0.01669916883111,24.221900122624817,0.6957256824173554,0.3890795111656189,2.328823694032941,-0.294552528812451,-0.3723803423345089
sample_2,2,dark,low,restormer_deraining,Restormer去雨,True,21.893076428591876,0.9902782112298064,0.01669916883111,20.932019531924656,0.9748254927992296,0.09166537970304489,-0.9610568966672197,-0.015452718430576828,-0.07496621087193489
sample_2,2,dark,low,xrestormer_motion_deblurring,XRestormer运动去模糊,True,21.893076428591876,0.9902782112298064,0.01669916883111,16.81468046428351,0.7302025417228285,0.37816473841667175,-5.078395964308367,-0.2600756695069779,-0.36146556958556175
sample_2,2,dark,low,xrestormer_deraining,XRestormer去雨,True,21.893076428591876,0.9902782112298064,0.01669916883111,18.803748021826586,0.9295416153338921,0.15998214483261108,-3.08932840676529,-0.06073659589591429,-0.14328297600150108
sample_2,2,dark,low,mprnet_denoising,MPRNet去噪,True,21.893076428591876,0.9902782112298064,0.01669916883111,21.96870455553419,0.9493893831814754,0.1693432480096817,0.07562812694231624,-0.04088882804833105,-0.1526440791785717
sample_2,2,dark,low,mprnet_motion_deblurring,MPRNet运动去模糊,True,21.893076428591876,0.9902782112298064,0.01669916883111,21.63950500759418,0.9037952501382889,0.12445501983165741,-0.2535714209976945,-0.08648296109151754,-0.10775585100054741
sample_2,2,dark,low,mprnet_deraining,MPRNet去雨,True,21.893076428591876,0.9902782112298064,0.01669916883111,20.176577252912374,0.9576620697894335,0.14052297174930573,-1.7164991756795018,-0.03261614144037295,-0.12382380291819572
sample_2,2,dark,low,fbcnn_jpeg_artifact_removal,FBCNN JPEG伪影去除,True,21.893076428591876,0.9902782112298064,0.01669916883111,21.881325291158305,0.9798214275059945,0.03051135316491127,-0.011751137433570591,-0.010456783723811869,-0.01381218433380127
sample_2,2,dark,low,drbnet_defocus_deblurring,DRBNet散焦去模糊,True,21.893076428591876,0.9902782112298064,0.01669916883111,21.229111262785313,0.7323685476275482,0.3434552252292633,-0.6639651658065624,-0.2579096636022582,-0.3267560563981533
sample_2,2,dark,low,dehazeformer_dehaze,DehazeFormer去雾,True,21.893076428591876,0.9902782112298064,0.01669916883111,16.349063184795043,0.9545984635512449,0.052401840686798096,-5.544013243796833,-0.035679747678561524,-0.035702671855688095
